,Open,High,Low,Close,Adj Close,Volume,CMF,CMF_Recommend,MACD_line,MACD_histogram,MACD_signal,MACD_Recommend,RSI,RSI_Recommend,DC_hband,DC_mband,DC_lband,DC_Recommend
2020-04-21 14:00:00+07:00,240.0,240.0,240.0,240.0,240.0,0,,,,,,,,,,,,
2020-04-22 14:00:00+07:00,240.0,240.0,240.0,240.0,240.0,2700,,,,,,,,,,,,
2020-04-23 14:00:00+07:00,240.0,240.0,240.0,240.0,240.0,10000,,,,,,,,,,,,
2020-04-24 13:00:00+07:00,240.0,240.0,240.0,240.0,240.0,100,,,,,,,,,,,,
2020-04-27 10:00:00+07:00,240.0,240.0,240.0,240.0,240.0,200,,,,,,,,,,,,
2020-04-30 10:00:00+07:00,224.0,224.0,224.0,224.0,224.0,100,,,,,,,,,,,,
2020-04-30 13:00:00+07:00,224.0,224.0,224.0,224.0,224.0,800,,,,,,,,,,,,
2020-05-08 10:00:00+07:00,226.0,280.0,226.0,280.0,280.0,20500,,,,,,,,,,,,
2020-05-08 11:00:00+07:00,232.0,280.0,232.0,232.0,232.0,100,,,,,,,,,,,,
2020-05-08 13:00:00+07:00,232.0,232.0,232.0,232.0,232.0,1800,,,,,,,,,,,,
2020-05-08 14:00:00+07:00,252.0,272.0,252.0,272.0,272.0,300,,,,,,,,,,,,
2020-05-08 15:00:00+07:00,270.0,272.0,252.0,270.0,270.0,700,,,,,,,,,,,,
2020-05-11 09:00:00+07:00,256.0,256.0,256.0,256.0,256.0,0,,,,,,,,,,,,
2020-05-11 10:00:00+07:00,272.0,272.0,256.0,256.0,256.0,800,,,,,,,54.50102464384912,HOLD,,,,
2020-05-11 15:00:00+07:00,272.0,272.0,272.0,272.0,272.0,10000,,,,,,,60.02741629263818,HOLD,,,,
2020-05-15 15:00:00+07:00,272.0,272.0,272.0,272.0,272.0,0,,,,,,,60.02741629263818,HOLD,,,,
2020-05-20 09:00:00+07:00,272.0,272.0,272.0,272.0,272.0,500,,,,,,,60.02741629263818,HOLD,,,,
2020-05-26 11:00:00+07:00,254.0,254.0,254.0,254.0,254.0,0,,,,,,,51.276302747414796,HOLD,,,,
2020-05-27 13:00:00+07:00,254.0,254.0,238.0,238.0,238.0,300,,,,,,,44.99677203891717,HOLD,,,,
2020-05-28 09:00:00+07:00,238.0,238.0,224.0,224.0,224.0,700,0.39233870967741935,BUY,,,,,40.34140198030039,HOLD,280.0,252.0,224.0,BUY
2020-05-29 09:00:00+07:00,212.0,212.0,212.0,212.0,212.0,0,0.39233870967741935,BUY,,,,,36.82459359892955,HOLD,280.0,246.0,212.0,BUY
2020-05-29 10:00:00+07:00,214.0,214.0,214.0,214.0,214.0,100,0.41404255319148936,BUY,,,,,37.79787047439708,HOLD,280.0,246.0,212.0,
2020-06-02 09:00:00+07:00,202.0,202.0,202.0,202.0,202.0,0,0.5259459459459459,BUY,,,,,34.37588485410467,HOLD,280.0,241.0,202.0,BUY
2020-06-03 11:00:00+07:00,212.0,212.0,212.0,212.0,212.0,700,0.5175531914893617,BUY,,,,,39.30708134347208,HOLD,280.0,241.0,202.0,
2020-06-04 09:00:00+07:00,206.0,206.0,206.0,206.0,206.0,0,0.5203208556149732,BUY,,,,,37.48694136853649,HOLD,280.0,241.0,202.0,
2020-06-04 13:00:00+07:00,212.0,212.0,212.0,212.0,212.0,400,0.5161803713527852,BUY,-9.561800965693578,,,,40.456246846101614,HOLD,280.0,241.0,202.0,
2020-06-05 09:00:00+07:00,200.0,214.0,200.0,214.0,214.0,43100,0.782,BUY,-9.691868080377219,,,,41.45450087680429,HOLD,280.0,240.0,200.0,
2020-06-05 10:00:00+07:00,214.0,260.0,214.0,260.0,260.0,20200,0.7811794228356336,BUY,-6.013808206350177,,,,58.63261418549042,HOLD,280.0,240.0,200.0,BUY
2020-06-05 13:00:00+07:00,238.0,258.0,200.0,244.0,244.0,169100,0.6024347295592252,BUY,-4.339957214376227,,,,52.826559628806564,HOLD,272.0,236.0,200.0,BUY
2020-06-05 14:00:00+07:00,244.0,258.0,200.0,246.0,246.0,189300,0.5978782273237522,BUY,-2.8195331356003805,,,,53.44711868347963,HOLD,272.0,236.0,200.0,BUY
2020-06-05 15:00:00+07:00,220.0,220.0,220.0,220.0,220.0,2800,0.5937872868899492,BUY,-3.670260331595358,,,,45.13475249426555,HOLD,272.0,236.0,200.0,
2020-06-08 09:00:00+07:00,240.0,248.0,220.0,240.0,240.0,0,0.5934577231931979,BUY,-2.699516563994848,,,,51.39667490816255,HOLD,272.0,236.0,200.0,
2020-06-08 10:00:00+07:00,236.0,238.0,236.0,238.0,238.0,1000,0.5943837876050585,BUY,-2.0677427681369807,,,,50.77261745275233,HOLD,272.0,236.0,200.0,
2020-06-08 11:00:00+07:00,214.0,238.0,214.0,238.0,238.0,200,0.5974782909640071,BUY,-1.5491992782980617,2.654258948643492,-4.203458226941554,HOLD,50.77261745275233,HOLD,272.0,236.0,200.0,BUY
2020-06-08 13:00:00+07:00,236.0,236.0,236.0,236.0,236.0,200,0.6111397171223069,BUY,-1.284822478244223,2.334908598957865,-3.619731077202088,HOLD,50.06757466637983,HOLD,272.0,236.0,200.0,
2020-06-08 15:00:00+07:00,220.0,220.0,220.0,220.0,220.0,7600,0.6004917073787728,BUY,-2.3394010824385987,1.024263995810792,-3.3636650782493906,HOLD,44.71773915462955,HOLD,272.0,236.0,200.0,
2020-06-09 09:00:00+07:00,232.0,232.0,220.0,220.0,220.0,0,0.6011808188171235,BUY,-3.1389780392012767,0.17974963123849141,-3.318727670439768,HOLD,44.71773915462955,HOLD,260.0,230.0,200.0,SELL
2020-06-09 13:00:00+07:00,238.0,238.0,238.0,238.0,238.0,5000,0.5943600697949187,BUY,-2.293757956446086,0.8199757711949456,-3.1137337276410317,HOLD,51.481840174617595,HOLD,260.0,230.0,200.0,
2020-06-10 09:00:00+07:00,240.0,240.0,222.0,222.0,222.0,0,0.595446146136741,BUY,-2.8817620744418946,0.18557732255931025,-3.067339397001205,HOLD,46.084149119883335,HOLD,260.0,230.0,200.0,SELL
2020-06-10 10:00:00+07:00,234.0,238.0,234.0,238.0,238.0,1000,0.5988983044216489,BUY,-2.0332551916814623,0.8272673642557944,-2.8605225559372567,HOLD,51.55423860087145,HOLD,260.0,230.0,200.0,
2020-06-11 09:00:00+07:00,246.0,246.0,246.0,246.0,246.0,0,0.5988983044216489,BUY,-0.7071229594141073,1.7227196772185196,-2.429842636632627,HOLD,54.063744635448764,HOLD,260.0,230.0,200.0,
2020-06-11 11:00:00+07:00,240.0,240.0,222.0,222.0,222.0,4200,0.5839354378566113,BUY,-1.574602002972,0.6841925069285018,-2.258794509900502,HOLD,46.313032377073256,HOLD,260.0,230.0,200.0,SELL
2020-06-11 13:00:00+07:00,222.0,222.0,222.0,222.0,222.0,1000,0.5826255781934067,BUY,-2.23630664390231,0.017990292798553575,-2.2542969367008636,HOLD,46.313032377073256,HOLD,260.0,230.0,200.0,
2020-06-12 09:00:00+07:00,208.0,208.0,208.0,208.0,208.0,0,0.5835418619605048,BUY,-3.846060346694969,-1.2734107279952847,-2.5726496186996846,BUY,42.218326893330854,HOLD,260.0,230.0,200.0,
2020-06-12 10:00:00+07:00,210.0,210.0,208.0,210.0,210.0,2400,0.5857753804661915,BUY,-4.903889483108657,-1.8649918915271777,-3.038897591581479,BUY,42.993732086582725,HOLD,260.0,230.0,200.0,
2020-06-12 14:00:00+07:00,212.0,212.0,210.0,210.0,210.0,28200,0.49218279562091455,BUY,-5.676788214109564,-2.110312498022468,-3.566475716087096,BUY,42.993732086582725,HOLD,260.0,230.0,200.0,
2020-06-12 15:00:00+07:00,220.0,220.0,220.0,220.0,220.0,200,0.44133784171743917,BUY,-5.419922112026455,-1.482757116751487,-3.9371649952749683,BUY,47.10954184473705,HOLD,260.0,230.0,200.0,
2020-06-15 13:00:00+07:00,210.0,210.0,210.0,210.0,210.0,0,0.41396041426157376,BUY,-5.9546290450151105,-1.6139712397921135,-4.340657805222997,BUY,43.710887549122326,HOLD,258.0,229.0,200.0,
2020-06-16 10:00:00+07:00,210.0,210.0,210.0,210.0,210.0,300,0.341696653727368,BUY,-6.3056999578123225,-1.5720337220714597,-4.733666235740863,BUY,43.710887549122326,HOLD,258.0,229.0,200.0,
2020-06-16 11:00:00+07:00,212.0,212.0,212.0,212.0,212.0,500,-0.5091575091575091,SELL,-6.349351528148446,-1.292548233926066,-5.05680329422238,BUY,44.63732171904737,HOLD,248.0,228.0,208.0,
2020-06-16 15:00:00+07:00,230.0,230.0,230.0,230.0,230.0,200,-0.5346153846153846,SELL,-4.875296758148011,0.1452052288594956,-5.020501987007506,HOLD,52.25382967038792,HOLD,248.0,228.0,208.0,
2020-06-17 09:00:00+07:00,214.0,214.0,214.0,214.0,214.0,0,-0.5346153846153846,SELL,-4.94120488127416,0.06343768458667665,-5.004642565860837,HOLD,46.1730467272415,HOLD,246.0,227.0,208.0,
2020-06-17 14:00:00+07:00,220.0,220.0,220.0,220.0,220.0,100,-0.5636007827788649,SELL,-4.457899793908382,0.4373942175619643,-4.895294011470346,HOLD,48.58913202866373,HOLD,246.0,227.0,208.0,
2020-06-17 15:00:00+07:00,228.0,228.0,228.0,228.0,228.0,200,-0.5675146771037182,SELL,-3.390263046896365,1.204024771659185,-4.59428781855555,HOLD,51.70202916337433,HOLD,246.0,227.0,208.0,
2020-06-18 09:00:00+07:00,242.0,242.0,242.0,242.0,242.0,0,-0.5697445972495089,SELL,-1.3983509169365504,2.5567495212952,-3.9551004382317503,HOLD,56.64892163830131,HOLD,246.0,227.0,208.0,
2020-06-18 11:00:00+07:00,230.0,230.0,230.0,230.0,230.0,5000,-0.6004140786749482,SELL,-0.7790653345812757,2.5408280829203798,-3.3198934175016555,HOLD,51.755650807918975,HOLD,246.0,227.0,208.0,
2020-06-18 14:00:00+07:00,230.0,230.0,230.0,230.0,230.0,400,-0.5954825462012321,SELL,-0.2849918403190941,2.4279212617460493,-2.7129131020651434,HOLD,51.755650807918975,HOLD,246.0,227.0,208.0,
2020-06-19 14:00:00+07:00,230.0,240.0,230.0,240.0,240.0,200,-0.6560364464692483,SELL,0.9030713456734247,2.8927875581908546,-1.98971621251743,SELL,55.472887852849006,HOLD,246.0,227.0,208.0,
2020-06-22 09:00:00+07:00,250.0,264.0,226.0,250.0,250.0,123300,0.021814404432132953,BUY,2.6213194675117393,3.6888285440233353,-1.067509076511596,SELL,58.88453200082999,HOLD,264.0,236.0,208.0,
2020-06-22 10:00:00+07:00,226.0,244.0,224.0,240.0,240.0,782200,0.4976458966902706,BUY,3.1399318767296904,3.3659527625930292,-0.22602088586333868,SELL,54.39612870743619,HOLD,264.0,236.0,208.0,BUY
2020-06-22 11:00:00+07:00,238.0,240.0,224.0,238.0,238.0,100,0.49767250228893267,BUY,3.3509252813678927,2.861556933784985,0.48936834758290765,SELL,53.517508454299296,HOLD,264.0,236.0,208.0,
2020-06-22 13:00:00+07:00,236.0,236.0,236.0,236.0,236.0,8000,0.5000969950866876,BUY,3.3185021621372357,2.263307051643462,1.0551951104937733,SELL,52.60250170034118,HOLD,264.0,236.0,208.0,
2020-06-22 15:00:00+07:00,226.0,226.0,226.0,226.0,226.0,26000,0.4873041731515938,BUY,2.457560947217047,1.1218926693786189,1.3356682778384281,SELL,48.16802908267118,HOLD,264.0,236.0,208.0,
2020-06-23 09:00:00+07:00,214.0,238.0,214.0,238.0,238.0,0,0.4873041731515938,BUY,2.712292919034951,1.1012997129572182,1.6109932060777328,SELL,53.260045478305294,HOLD,264.0,236.0,208.0,BUY
2020-06-23 10:00:00+07:00,236.0,236.0,222.0,222.0,222.0,40400,0.4269106356949204,BUY,1.6046066528633673,-0.005109242571492478,1.6097158954348598,HOLD,46.675783442457444,HOLD,264.0,237.0,210.0,
2020-06-23 14:00:00+07:00,222.0,222.0,214.0,214.0,214.0,87000,0.34879654447542374,BUY,0.08029853375046514,-1.2235338893475158,1.303832423097981,HOLD,43.762628022550935,HOLD,264.0,237.0,210.0,
2020-06-23 15:00:00+07:00,222.0,222.0,214.0,222.0,222.0,68200,0.3877439527371094,BUY,-0.47669840895906646,-1.424424665645638,0.9477262566865716,BUY,47.30448007597426,HOLD,264.0,237.0,210.0,
2020-06-24 09:00:00+07:00,242.0,242.0,238.0,238.0,238.0,0,0.3877439527371094,BUY,0.3686937118121705,-0.46322603589952094,0.8319197477116914,HOLD,53.598806085067395,HOLD,264.0,237.0,210.0,
2020-06-25 09:00:00+07:00,250.0,250.0,238.0,238.0,238.0,100,0.3877242914625209,BUY,1.026836328236243,0.15593326441964117,0.8709030638166018,SELL,53.598806085067395,HOLD,264.0,238.0,212.0,
2020-06-25 10:00:00+07:00,222.0,236.0,222.0,236.0,236.0,2500,0.38923189826125765,BUY,1.3712291322352712,0.40026085473493556,0.9709682775003357,SELL,52.6864717177996,HOLD,264.0,239.0,214.0,
2020-06-25 11:00:00+07:00,226.0,226.0,226.0,226.0,226.0,100,0.3892659279778393,BUY,0.8277052136335783,-0.11461045109340595,0.9423156647269842,HOLD,48.262956467380874,HOLD,264.0,239.0,214.0,
2020-06-25 13:00:00+07:00,224.0,224.0,222.0,222.0,222.0,3600,0.3849070667779786,BUY,0.07334652853387524,-0.6951753089544872,0.7685218374883624,HOLD,46.57835477701899,HOLD,264.0,239.0,214.0,
2020-06-25 14:00:00+07:00,222.0,224.0,222.0,222.0,222.0,56000,0.3204873002751206,BUY,-0.5185110911714332,-1.0296263429278365,0.5111152517564033,BUY,46.57835477701899,HOLD,264.0,239.0,214.0,
2020-06-26 09:00:00+07:00,224.0,250.0,224.0,232.0,232.0,59100,0.28752305434185027,BUY,-0.1785874474514344,-0.5517621593662702,0.37317471191483575,BUY,51.48791535189613,HOLD,264.0,239.0,214.0,BUY
2020-06-26 10:00:00+07:00,230.0,230.0,230.0,230.0,230.0,11400,0.28494943403759687,BUY,-0.0697744793237689,-0.3543593529908837,0.2845848736671148,BUY,50.48853047497447,HOLD,264.0,239.0,214.0,
2020-06-26 11:00:00+07:00,220.0,230.0,220.0,220.0,220.0,100,0.28597115093425035,BUY,-0.7814478008268964,-0.8528261395952089,0.0713783387683126,BUY,45.71100588840664,HOLD,264.0,239.0,214.0,
2020-06-29 09:00:00+07:00,220.0,220.0,212.0,212.0,212.0,0,0.2860613413153697,BUY,-1.9682978641033912,-1.631740962297363,-0.33655690180602815,BUY,42.26536879791786,HOLD,264.0,238.0,212.0,BUY
2020-06-29 13:00:00+07:00,212.0,212.0,212.0,212.0,212.0,100,0.28592619396805186,BUY,-2.8757354024071446,-2.031342800480893,-0.8443926019262515,BUY,42.26536879791786,HOLD,264.0,238.0,212.0,BUY
2020-06-30 09:00:00+07:00,208.0,212.0,200.0,212.0,212.0,0,0.28837822584438005,BUY,-3.5539188252672886,-2.1676209786728298,-1.3862978465944589,BUY,42.26536879791786,HOLD,250.0,225.0,200.0,
2020-06-30 10:00:00+07:00,212.0,212.0,212.0,212.0,212.0,30200,-0.3541760479276386,SELL,-4.044758614399683,-2.1267686142441793,-1.9179900001555037,BUY,42.26536879791786,HOLD,250.0,225.0,200.0,
2020-06-30 11:00:00+07:00,214.0,214.0,212.0,214.0,214.0,14300,-0.30687980651134666,SELL,-4.223681427943262,-1.8445531422302066,-2.3791282857130556,BUY,43.69259564180747,HOLD,250.0,225.0,200.0,
