,Open,High,Low,Close,Adj Close,Volume,CMF,CMF_Recommend,MACD_line,MACD_histogram,MACD_signal,MACD_Recommend,RSI,RSI_Recommend,DC_hband,DC_mband,DC_lband,DC_Recommend
2020-04-21 09:00:00+07:00,191.0,192.0,186.0,187.0,187.0,0,,,,,,,,,,,,
2020-04-21 10:00:00+07:00,187.0,188.0,184.0,186.0,186.0,26401300,,,,,,,,,,,,
2020-04-21 11:00:00+07:00,186.0,188.0,185.0,186.0,186.0,14217500,,,,,,,,,,,,
2020-04-21 13:00:00+07:00,187.0,187.0,185.0,186.0,186.0,6961400,,,,,,,,,,,,
2020-04-21 14:00:00+07:00,185.0,188.0,184.0,187.0,187.0,52504100,,,,,,,,,,,,
2020-04-21 15:00:00+07:00,185.0,185.0,185.0,185.0,185.0,6921800,,,,,,,,,,,,
2020-04-22 09:00:00+07:00,186.0,187.0,182.0,187.0,187.0,0,,,,,,,,,,,,
2020-04-22 10:00:00+07:00,187.0,187.0,185.0,186.0,186.0,5838900,,,,,,,,,,,,
2020-04-22 11:00:00+07:00,185.0,190.0,185.0,189.0,189.0,15710600,,,,,,,,,,,,
2020-04-22 13:00:00+07:00,189.0,191.0,188.0,188.0,188.0,12255700,,,,,,,,,,,,
2020-04-22 14:00:00+07:00,189.0,189.0,187.0,188.0,188.0,15446100,,,,,,,,,,,,
2020-04-22 15:00:00+07:00,188.0,188.0,188.0,188.0,188.0,1956400,,,,,,,,,,,,
2020-04-23 09:00:00+07:00,190.0,191.0,186.0,186.0,186.0,0,,,,,,,,,,,,
2020-04-23 10:00:00+07:00,186.0,187.0,185.0,187.0,187.0,25831600,,,,,,,50.088000716555,HOLD,,,,
2020-04-23 11:00:00+07:00,187.0,188.0,186.0,186.0,186.0,8243200,,,,,,,45.003972041830224,HOLD,,,,
2020-04-23 13:00:00+07:00,186.0,188.0,185.0,186.0,186.0,25076300,,,,,,,45.003972041830224,HOLD,,,,
2020-04-23 14:00:00+07:00,186.0,186.0,184.0,186.0,186.0,52588800,,,,,,,45.003972041830224,HOLD,,,,
2020-04-23 15:00:00+07:00,186.0,186.0,186.0,186.0,186.0,19844800,,,,,,,45.003972041830224,HOLD,,,,
2020-04-24 09:00:00+07:00,173.0,173.0,173.0,173.0,173.0,0,,,,,,,16.218650253406793,BUY,,,,
2020-04-24 10:00:00+07:00,173.0,173.0,173.0,173.0,173.0,284300,0.27751378801730636,BUY,,,,,16.218650253406793,BUY,192.0,182.5,173.0,BUY
2020-04-24 11:00:00+07:00,173.0,173.0,173.0,173.0,173.0,146800,0.2773734197568638,BUY,,,,,16.218650253406793,BUY,191.0,182.0,173.0,BUY
2020-04-24 13:00:00+07:00,173.0,173.0,173.0,173.0,173.0,62800,0.30505756604397294,BUY,,,,,16.218650253406793,BUY,191.0,182.0,173.0,BUY
2020-04-24 14:00:00+07:00,173.0,173.0,173.0,173.0,173.0,50200,0.3413416876298268,BUY,,,,,16.218650253406793,BUY,191.0,182.0,173.0,BUY
2020-04-24 15:00:00+07:00,173.0,173.0,173.0,173.0,173.0,28700,0.3510884185348365,BUY,,,,,16.218650253406793,BUY,191.0,182.0,173.0,BUY
2020-04-27 09:00:00+07:00,161.0,161.0,161.0,161.0,161.0,0,0.3100006481437688,BUY,,,,,8.442754799836138,BUY,191.0,176.0,161.0,BUY
2020-04-27 10:00:00+07:00,161.0,161.0,161.0,161.0,161.0,274000,0.32122277451292175,BUY,-5.550872252128869,,,,8.442754799836138,BUY,191.0,176.0,161.0,BUY
2020-04-27 11:00:00+07:00,161.0,161.0,161.0,161.0,161.0,83000,0.32107765601181204,BUY,-6.109130990051284,,,,8.442754799836138,BUY,191.0,176.0,161.0,BUY
2020-04-27 13:00:00+07:00,161.0,161.0,161.0,161.0,161.0,169300,0.3313014992947777,BUY,-6.476893465744894,,,,8.442754799836138,BUY,191.0,176.0,161.0,BUY
2020-04-27 14:00:00+07:00,161.0,161.0,161.0,161.0,161.0,85300,0.30513794992180093,BUY,-6.691215707775569,,,,8.442754799836138,BUY,191.0,176.0,161.0,BUY
2020-04-27 15:00:00+07:00,161.0,161.0,161.0,161.0,161.0,122900,0.4113153397718036,BUY,-6.782878823807863,,,,8.442754799836138,BUY,191.0,176.0,161.0,BUY
2020-04-28 09:00:00+07:00,150.0,156.0,150.0,153.0,153.0,43074800,0.34744447791706384,BUY,-7.415573529259859,,,,5.633760206138291,BUY,191.0,170.5,150.0,
2020-04-28 10:00:00+07:00,153.0,161.0,152.0,153.0,153.0,46963900,0.11344761199581556,BUY,-7.826766548867425,,,,5.633760206138291,BUY,191.0,170.5,150.0,
2020-04-28 11:00:00+07:00,153.0,154.0,152.0,153.0,153.0,4559600,0.11117377556561998,BUY,-8.059732401279433,,,,5.633760206138291,BUY,188.0,169.0,150.0,
2020-04-28 13:00:00+07:00,152.0,154.0,152.0,153.0,153.0,4220100,-0.002626032619407342,SELL,-8.150406702727253,-0.9483252792132006,-7.202081423514052,BUY,5.633760206138263,BUY,188.0,169.0,150.0,
2020-04-28 14:00:00+07:00,153.0,154.0,150.0,152.0,152.0,28898900,0.034001688729776526,BUY,-8.208337774200885,-0.8050050805494653,-7.40333269365142,BUY,5.335307885689119,BUY,188.0,169.0,150.0,
2020-04-28 15:00:00+07:00,152.0,152.0,152.0,152.0,152.0,2746200,0.07865316429137778,BUY,-8.160183054994178,-0.6054802890742064,-7.554702765919972,BUY,5.335307885689119,BUY,186.0,168.0,150.0,
2020-04-29 09:00:00+07:00,153.0,159.0,153.0,155.0,155.0,0,-0.24092163192823018,SELL,-7.790145220231153,-0.18835396344894484,-7.601791256782208,BUY,20.068165853117733,BUY,186.0,168.0,150.0,
2020-04-29 10:00:00+07:00,155.0,157.0,153.0,155.0,155.0,10818500,-0.25617264253192756,SELL,-7.411452954018159,0.15227064221123943,-7.563723596229399,HOLD,20.068165853117733,BUY,173.0,161.5,150.0,
2020-04-29 11:00:00+07:00,155.0,157.0,154.0,154.0,154.0,14147500,-0.3233125709965865,SELL,-7.110067811497828,0.36292462778525714,-7.472992439283085,HOLD,18.92927756520811,BUY,173.0,161.5,150.0,
2020-04-29 13:00:00+07:00,154.0,155.0,153.0,153.0,153.0,10250100,-0.3654716709744046,SELL,-6.872685516799578,0.48024553798680625,-7.352931054786384,HOLD,17.839019971443804,BUY,173.0,161.5,150.0,
2020-04-29 14:00:00+07:00,153.0,154.0,152.0,154.0,154.0,14989600,-0.2530247407963946,SELL,-6.5286089552348585,0.6594576796412213,-7.18806663487608,HOLD,22.63756833437992,BUY,173.0,161.5,150.0,
2020-04-29 15:00:00+07:00,154.0,154.0,154.0,154.0,154.0,3274200,-0.24862672322630494,SELL,-6.184633199533323,0.8027467482742061,-6.987379947807529,HOLD,22.63756833437992,BUY,173.0,161.5,150.0,
2020-04-30 09:00:00+07:00,155.0,157.0,152.0,153.0,153.0,0,-0.2486942955897503,SELL,-5.924428454188444,0.8503611948952683,-6.774789649083712,HOLD,21.201484161530985,BUY,173.0,161.5,150.0,
2020-04-30 10:00:00+07:00,153.0,153.0,151.0,153.0,153.0,14433500,-0.15821282848585153,SELL,-5.653049483286452,0.8973921326378083,-6.55044161592426,HOLD,21.201484161530985,BUY,161.0,155.5,150.0,
2020-04-30 11:00:00+07:00,152.0,156.0,152.0,154.0,154.0,15253600,-0.1469548563327865,SELL,-5.296236335334356,1.0033642244719232,-6.299600559806279,HOLD,26.601634806354596,BUY,161.0,155.5,150.0,BUY
2020-04-30 13:00:00+07:00,155.0,162.0,154.0,159.0,159.0,49587900,-0.07245556158561711,SELL,-4.557465506194262,1.3937080428896138,-5.951173549083876,HOLD,46.38595392452596,HOLD,162.0,156.0,150.0,BUY
2020-04-30 14:00:00+07:00,158.0,159.0,154.0,154.0,154.0,30882000,-0.16974789204139862,SELL,-4.325579922039566,1.3004749016354484,-5.626054823675014,HOLD,35.95025799480182,HOLD,162.0,156.0,150.0,SELL
2020-04-30 15:00:00+07:00,154.0,154.0,154.0,154.0,154.0,8254300,-0.1652119370146762,SELL,-4.094608824231301,1.2251567995549708,-5.319765623786272,HOLD,35.95025799480182,HOLD,162.0,156.0,150.0,
2020-05-04 09:00:00+07:00,150.0,154.0,149.0,152.0,152.0,0,-0.16525852750014472,SELL,-4.02653051313672,1.0345880885196417,-5.061118601656362,HOLD,32.55281036921646,HOLD,162.0,155.5,149.0,
2020-05-04 10:00:00+07:00,152.0,152.0,149.0,150.0,150.0,10314800,-0.17086818331958967,SELL,-4.086850576944272,0.7794144197696715,-4.8662649967139435,HOLD,29.545823437882348,BUY,162.0,155.5,149.0,
2020-05-04 11:00:00+07:00,150.0,151.0,149.0,151.0,151.0,4823500,-0.17710840405062214,SELL,-4.007764010674464,0.6868007888315839,-4.694564799506048,HOLD,32.884106187635695,HOLD,162.0,155.5,149.0,
2020-05-04 13:00:00+07:00,150.0,151.0,150.0,151.0,151.0,2584900,-0.04125119399939952,SELL,-3.900129076865653,0.6355485781123162,-4.535677654977969,HOLD,32.884106187635695,HOLD,162.0,155.5,149.0,
2020-05-04 14:00:00+07:00,150.0,151.0,149.0,150.0,150.0,9828300,-0.04032755239695168,SELL,-3.8511258771366386,0.547641422273065,-4.398767299409704,HOLD,31.17117874530058,HOLD,162.0,155.5,149.0,
2020-05-04 15:00:00+07:00,149.0,149.0,149.0,149.0,149.0,0,-0.04106400972559636,SELL,-3.8486176622248536,0.4401197097478802,-4.288737371972734,HOLD,29.51545783771816,BUY,162.0,155.5,149.0,BUY
2020-05-05 09:00:00+07:00,152.0,152.0,149.0,150.0,150.0,8123100,-0.05799522455526392,SELL,-3.723021566072049,0.45257264472054803,-4.175594210792597,HOLD,33.32922432886315,HOLD,162.0,155.5,149.0,
2020-05-05 10:00:00+07:00,150.0,156.0,150.0,152.0,152.0,24903000,-0.08817566773118227,SELL,-3.4226483104985164,0.6023567202352647,-4.025005030733781,HOLD,40.28805275093808,HOLD,162.0,155.5,149.0,BUY
2020-05-05 11:00:00+07:00,153.0,153.0,151.0,151.0,151.0,9568400,-0.12422260572617211,SELL,-3.2280806793739885,0.6375394810878343,-3.8656201604618228,HOLD,38.1442520345712,HOLD,162.0,155.5,149.0,
2020-05-05 13:00:00+07:00,151.0,152.0,150.0,150.0,150.0,5207300,-0.14919590766948926,SELL,-3.1186264877023575,0.5975949382075725,-3.71622142590993,HOLD,36.07686580600662,HOLD,162.0,155.5,149.0,
2020-05-05 14:00:00+07:00,151.0,151.0,149.0,151.0,151.0,10934600,-0.04370119717402953,SELL,-2.9175597963618713,0.6389293036384469,-3.5564891000003183,HOLD,39.602184854493636,HOLD,162.0,155.5,149.0,
2020-05-05 15:00:00+07:00,150.0,150.0,150.0,150.0,150.0,6395300,0.00025465977613774583,BUY,-2.8065524479171984,0.5999493216664962,-3.4065017695836945,HOLD,37.382007489786886,HOLD,162.0,155.5,149.0,
2020-05-06 09:00:00+07:00,150.0,154.0,150.0,151.0,151.0,0,-0.06965192057733552,SELL,-2.6078252951708976,0.6389411795302378,-3.2467664747011353,HOLD,40.94728296509523,HOLD,162.0,155.5,149.0,
2020-05-06 10:00:00+07:00,151.0,152.0,150.0,150.0,150.0,3432100,-0.08559913626872688,SELL,-2.5021806564645885,0.5956686545892378,-3.0978493110538263,HOLD,38.581588060127764,HOLD,162.0,155.5,149.0,
2020-05-06 11:00:00+07:00,151.0,151.0,150.0,151.0,151.0,3882200,-0.06630269323702463,SELL,-2.311123681336113,0.6293805037741707,-2.9405041851102838,HOLD,42.179107264484564,HOLD,162.0,155.5,149.0,
2020-05-06 13:00:00+07:00,150.0,151.0,149.0,149.0,149.0,9633000,-0.1804592408940414,SELL,-2.2946417357928794,0.5166899594539234,-2.811331695246803,HOLD,37.453944435142596,HOLD,162.0,155.5,149.0,BUY
2020-05-06 14:00:00+07:00,150.0,150.0,148.0,148.0,148.0,9268800,-0.23030336964104095,SELL,-2.3353508469964197,0.38078467860030685,-2.7161355255967266,HOLD,35.32318722663247,HOLD,162.0,155.0,148.0,BUY
2020-05-06 15:00:00+07:00,148.0,148.0,148.0,148.0,148.0,12728000,-0.352612422475672,SELL,-2.340631764925149,0.3004030085372622,-2.6410347734624113,HOLD,35.32318722663247,HOLD,159.0,153.5,148.0,BUY
2020-05-08 09:00:00+07:00,148.0,151.0,148.0,149.0,149.0,0,-0.20968709727846024,SELL,-2.2383232901977976,0.32216918661169114,-2.5604924768094888,HOLD,39.32637286160469,HOLD,156.0,152.0,148.0,
2020-05-08 10:00:00+07:00,149.0,150.0,148.0,149.0,149.0,5579100,-0.21377549929643708,SELL,-2.132659120081513,0.3422666853823806,-2.4749258054638936,HOLD,39.32637286160469,HOLD,156.0,152.0,148.0,
2020-05-08 11:00:00+07:00,150.0,150.0,148.0,149.0,149.0,3820100,-0.20798478772902018,SELL,-2.025569993978081,0.3594846491886501,-2.385054643166731,HOLD,39.32637286160469,HOLD,156.0,152.0,148.0,
2020-05-08 13:00:00+07:00,149.0,152.0,148.0,151.0,151.0,6557400,-0.16474501544775916,SELL,-1.7590406787235224,0.5008111715545671,-2.2598518502780895,HOLD,47.45103535528474,HOLD,156.0,152.0,148.0,
2020-05-08 14:00:00+07:00,151.0,151.0,149.0,151.0,151.0,13432800,-0.09600530304692127,SELL,-1.530175367014408,0.5837411866109452,-2.1139165536253532,HOLD,47.45103535528474,HOLD,156.0,152.0,148.0,
2020-05-08 15:00:00+07:00,150.0,150.0,150.0,150.0,150.0,6750000,-0.11056793529876334,SELL,-1.4131991214643733,0.5605739457287842,-1.9737730671931575,HOLD,44.031930143697586,HOLD,156.0,152.0,148.0,
2020-05-11 09:00:00+07:00,153.0,153.0,148.0,149.0,149.0,0,-0.11831812813446757,SELL,-1.385218312313043,0.47084380390409164,-1.8560621162171347,HOLD,40.86117770489601,HOLD,156.0,152.0,148.0,SELL
2020-05-11 10:00:00+07:00,149.0,150.0,148.0,149.0,149.0,6901800,-0.11276738922082423,SELL,-1.3475100622678156,0.4068416431594555,-1.754351705427271,HOLD,40.86117770489601,HOLD,156.0,152.0,148.0,
2020-05-11 11:00:00+07:00,149.0,149.0,148.0,149.0,149.0,1729600,-0.08635871052098618,SELL,-1.3026103214943134,0.3613931071463661,-1.6640034286406795,HOLD,40.86117770489601,HOLD,156.0,152.0,148.0,
2020-05-11 13:00:00+07:00,149.0,149.0,148.0,149.0,149.0,2560600,-0.01090630176607582,SELL,-1.2525878998456221,0.32913242303604595,-1.581720322881668,HOLD,40.86117770489601,HOLD,154.0,151.0,148.0,
2020-05-11 14:00:00+07:00,149.0,149.0,142.0,144.0,144.0,31850700,-0.03819756951701721,SELL,-1.5979824367322806,-0.013009691080489993,-1.5849727456517906,BUY,27.529151148803706,BUY,154.0,148.0,142.0,SELL
2020-05-11 15:00:00+07:00,144.0,144.0,144.0,144.0,144.0,7139300,-0.0011620290696614207,SELL,-1.8503800660681975,-0.2123258563331254,-1.638054209735072,BUY,27.529151148803706,BUY,154.0,148.0,142.0,
2020-05-12 09:00:00+07:00,145.0,146.0,142.0,145.0,145.0,0,-0.0843098325393739,SELL,-1.9472684643676246,-0.24737140370604171,-1.6998970606615829,BUY,32.627912189510326,HOLD,154.0,148.0,142.0,
2020-05-12 10:00:00+07:00,144.0,145.0,139.0,141.0,141.0,22298900,-0.1255944297314709,SELL,-2.320075403612293,-0.49614267436056814,-1.823932729251725,BUY,25.03922209549438,BUY,154.0,146.5,139.0,
