,Open,High,Low,Close,Adj Close,Volume,CMF,CMF_Recommend,MACD_line,MACD_histogram,MACD_signal,MACD_Recommend,RSI,RSI_Recommend,DC_hband,DC_mband,DC_lband,DC_Recommend
2020-04-21 09:00:00+07:00,1925.0,1925.0,1835.0,1840.0,1840.0,0,,,,,,,,,,,,
2020-04-21 10:00:00+07:00,1840.0,1845.0,1810.0,1810.0,1810.0,5082700,,,,,,,,,,,,
2020-04-21 11:00:00+07:00,1810.0,1825.0,1805.0,1810.0,1810.0,2593700,,,,,,,,,,,,
2020-04-21 13:00:00+07:00,1815.0,1815.0,1800.0,1805.0,1805.0,3246300,,,,,,,,,,,,
2020-04-21 14:00:00+07:00,1815.0,1830.0,1800.0,1815.0,1815.0,14772100,,,,,,,,,,,,
2020-04-21 15:00:00+07:00,1825.0,1830.0,1800.0,1825.0,1825.0,6929600,,,,,,,,,,,,
2020-04-22 09:00:00+07:00,1800.0,1880.0,1775.0,1860.0,1860.0,0,,,,,,,,,,,,
2020-04-22 10:00:00+07:00,1860.0,1860.0,1810.0,1820.0,1820.0,2187900,,,,,,,,,,,,
2020-04-22 11:00:00+07:00,1835.0,1840.0,1805.0,1810.0,1810.0,621400,,,,,,,,,,,,
2020-04-22 13:00:00+07:00,1815.0,1855.0,1805.0,1840.0,1840.0,2732100,,,,,,,,,,,,
2020-04-22 14:00:00+07:00,1815.0,1880.0,1805.0,1880.0,1880.0,12879400,,,,,,,,,,,,
2020-04-22 15:00:00+07:00,1855.0,1880.0,1855.0,1855.0,1855.0,9599900,,,,,,,,,,,,
2020-04-23 09:00:00+07:00,1900.0,1905.0,1900.0,1900.0,1900.0,0,,,,,,,,,,,,
2020-04-23 10:00:00+07:00,1900.0,1905.0,1895.0,1905.0,1905.0,5135100,,,,,,,65.8365604403765,HOLD,,,,
2020-04-23 11:00:00+07:00,1900.0,1925.0,1895.0,1905.0,1905.0,0,,,,,,,65.8365604403765,HOLD,,,,
2020-04-23 13:00:00+07:00,1900.0,1910.0,1890.0,1895.0,1895.0,15281000,,,,,,,62.25217695832003,HOLD,,,,
2020-04-23 14:00:00+07:00,1900.0,1920.0,1885.0,1890.0,1890.0,28433000,,,,,,,60.47918029704813,HOLD,,,,
2020-04-23 15:00:00+07:00,1890.0,1905.0,1885.0,1890.0,1890.0,7843200,,,,,,,60.47918029704813,HOLD,,,,
2020-04-24 09:00:00+07:00,1880.0,1960.0,1845.0,1925.0,1925.0,0,,,,,,,67.90102615154078,HOLD,,,,
2020-04-24 10:00:00+07:00,1925.0,1925.0,1900.0,1900.0,1900.0,3031500,-0.24918363068707552,SELL,,,,,59.33027310741266,HOLD,1960.0,1867.5,1775.0,
2020-04-24 11:00:00+07:00,1900.0,1915.0,1885.0,1900.0,1900.0,2379000,-0.24435415615101785,SELL,,,,,59.33027310741266,HOLD,1960.0,1867.5,1775.0,
2020-04-24 13:00:00+07:00,1900.0,1905.0,1890.0,1895.0,1895.0,2337900,-0.21408246556805222,SELL,,,,,57.64261042778659,HOLD,1960.0,1867.5,1775.0,
2020-04-24 14:00:00+07:00,1900.0,1905.0,1860.0,1865.0,1865.0,11294200,-0.25778678530816,SELL,,,,,48.692867102910135,HOLD,1960.0,1867.5,1775.0,SELL
2020-04-24 15:00:00+07:00,1850.0,1895.0,1850.0,1850.0,1850.0,10546700,-0.31353994957197806,SELL,,,,,44.936078185286256,HOLD,1960.0,1867.5,1775.0,
2020-04-27 09:00:00+07:00,1875.0,1890.0,1825.0,1855.0,1855.0,0,-0.3517447742845514,SELL,,,,,46.420021829081925,HOLD,1960.0,1867.5,1775.0,SELL
