,Open,High,Low,Close,Adj Close,Volume,CMF,CMF_Recommend,MACD_line,MACD_histogram,MACD_signal,MACD_Recommend,RSI,RSI_Recommend,DC_hband,DC_mband,DC_lband,DC_Recommend
2020-04-21 09:00:00+07:00,3120.0,3120.0,3050.0,3060.0,3060.0,0,,,,,,,,,,,,
2020-04-21 10:00:00+07:00,3060.0,3080.0,3050.0,3060.0,3060.0,6275900,,,,,,,,,,,,
2020-04-21 11:00:00+07:00,3070.0,3070.0,3050.0,3050.0,3050.0,3155900,,,,,,,,,,,,
2020-04-21 13:00:00+07:00,3050.0,3100.0,3050.0,3090.0,3090.0,4269700,,,,,,,,,,,,
2020-04-21 14:00:00+07:00,3090.0,3130.0,3070.0,3130.0,3130.0,10026300,,,,,,,,,,,,
2020-04-21 15:00:00+07:00,3070.0,3070.0,3070.0,3070.0,3070.0,5060300,,,,,,,,,,,,
2020-04-22 09:00:00+07:00,3050.0,3180.0,3030.0,3160.0,3160.0,0,,,,,,,,,,,,
2020-04-22 10:00:00+07:00,3160.0,3230.0,3120.0,3200.0,3200.0,18795100,,,,,,,,,,,,
2020-04-22 11:00:00+07:00,3190.0,3220.0,3190.0,3210.0,3210.0,7636800,,,,,,,,,,,,
2020-04-22 13:00:00+07:00,3210.0,3240.0,3210.0,3240.0,3240.0,13483500,,,,,,,,,,,,
2020-04-22 14:00:00+07:00,3240.0,3270.0,3180.0,3220.0,3220.0,32898100,,,,,,,,,,,,
2020-04-22 15:00:00+07:00,3160.0,3160.0,3160.0,3160.0,3160.0,30720000,,,,,,,,,,,,
2020-04-23 09:00:00+07:00,3200.0,3240.0,3160.0,3170.0,3170.0,0,,,,,,,,,,,,
2020-04-23 10:00:00+07:00,3160.0,3220.0,3150.0,3200.0,3200.0,12770000,,,,,,,64.00440197047928,HOLD,,,,
2020-04-23 11:00:00+07:00,3200.0,3220.0,3190.0,3190.0,3190.0,5503200,,,,,,,61.73263273022999,HOLD,,,,
2020-04-23 13:00:00+07:00,3200.0,3210.0,3150.0,3180.0,3180.0,17864600,,,,,,,59.45982508549489,HOLD,,,,
2020-04-23 14:00:00+07:00,3170.0,3180.0,3120.0,3130.0,3130.0,28733000,,,,,,,49.62242084259797,HOLD,,,,
2020-04-23 15:00:00+07:00,3070.0,3070.0,3070.0,3070.0,3070.0,22041300,,,,,,,40.8816251045846,HOLD,,,,
2020-04-24 09:00:00+07:00,3100.0,3150.0,3080.0,3150.0,3150.0,0,,,,,,,52.81581407353842,HOLD,,,,
2020-04-24 10:00:00+07:00,3150.0,3160.0,3120.0,3140.0,3140.0,6946200,0.04010771943545811,BUY,,,,,51.41852979017947,HOLD,3270.0,3150.0,3030.0,SELL
2020-04-24 11:00:00+07:00,3150.0,3160.0,3120.0,3130.0,3130.0,7407300,0.022980325853214436,BUY,,,,,49.99415361871403,HOLD,3270.0,3150.0,3030.0,SELL
2020-04-24 13:00:00+07:00,3130.0,3140.0,3100.0,3130.0,3130.0,6819600,0.046425638981469924,BUY,,,,,49.99415361871402,HOLD,3270.0,3150.0,3030.0,
2020-04-24 14:00:00+07:00,3130.0,3150.0,3090.0,3100.0,3100.0,29410400,-0.02143498328065512,SELL,,,,,45.59921298060538,HOLD,3270.0,3150.0,3030.0,
2020-04-24 15:00:00+07:00,3090.0,3090.0,3090.0,3090.0,3090.0,17851600,-0.02972317023063225,SELL,,,,,44.20425446597354,HOLD,3270.0,3150.0,3030.0,
2020-04-27 09:00:00+07:00,3120.0,3170.0,3100.0,3160.0,3160.0,0,-0.06883915987105715,SELL,,,,,54.660257835695226,HOLD,3270.0,3150.0,3030.0,BUY
2020-04-27 10:00:00+07:00,3160.0,3170.0,3140.0,3140.0,3140.0,10723600,-0.10716845649541457,SELL,5.278468797740516,,,,51.68032481141434,HOLD,3270.0,3150.0,3030.0,SELL
2020-04-27 11:00:00+07:00,3140.0,3160.0,3140.0,3160.0,3160.0,4534100,-0.08885649254364474,SELL,6.915544934535774,,,,54.359900874679944,HOLD,3270.0,3170.0,3070.0,
2020-04-27 13:00:00+07:00,3160.0,3190.0,3150.0,3170.0,3170.0,13259600,-0.12249385233090919,SELL,8.91706561225783,,,,55.68322112262586,HOLD,3270.0,3170.0,3070.0,BUY
2020-04-27 14:00:00+07:00,3170.0,3200.0,3160.0,3180.0,3180.0,18857100,-0.12667928880898358,SELL,11.181310409763682,,,,57.02511384301917,HOLD,3270.0,3170.0,3070.0,BUY
2020-04-27 15:00:00+07:00,3150.0,3150.0,3150.0,3150.0,3150.0,16779800,-0.17282915506792704,SELL,10.434706642456149,,,,51.94365882200426,HOLD,3270.0,3170.0,3070.0,
