,Open,High,Low,Close,Adj Close,Volume,CMF,CMF_Recommend,MACD_line,MACD_histogram,MACD_signal,MACD_Recommend,RSI,RSI_Recommend,DC_hband,DC_mband,DC_lband,DC_Recommend
2020-04-21 10:00:00+07:00,4020.0,4050.0,3990.0,4030.0,4030.0,0,,,,,,,,,,,,
2020-04-21 11:00:00+07:00,4030.0,4030.0,4010.0,4010.0,4010.0,456600,,,,,,,,,,,,
2020-04-21 13:00:00+07:00,4020.0,4030.0,4000.0,4020.0,4020.0,1880700,,,,,,,,,,,,
2020-04-21 14:00:00+07:00,4020.0,4050.0,4010.0,4050.0,4050.0,3966700,,,,,,,,,,,,
2020-04-21 15:00:00+07:00,4030.0,4030.0,4030.0,4030.0,4030.0,2026900,,,,,,,,,,,,
2020-04-22 09:00:00+07:00,3970.0,4020.0,3900.0,4020.0,4020.0,0,,,,,,,,,,,,
2020-04-22 10:00:00+07:00,4030.0,4050.0,3960.0,3990.0,3990.0,8146600,,,,,,,,,,,,
2020-04-22 11:00:00+07:00,3980.0,3990.0,3970.0,3980.0,3980.0,2497100,,,,,,,,,,,,
2020-04-22 13:00:00+07:00,3990.0,4070.0,3990.0,4010.0,4010.0,8303600,,,,,,,,,,,,
2020-04-22 14:00:00+07:00,4010.0,4040.0,4000.0,4030.0,4030.0,9164300,,,,,,,,,,,,
2020-04-22 15:00:00+07:00,4020.0,4020.0,4020.0,4020.0,4020.0,4322900,,,,,,,,,,,,
2020-04-23 09:00:00+07:00,4050.0,4070.0,4000.0,4000.0,4000.0,0,,,,,,,,,,,,
2020-04-23 10:00:00+07:00,4000.0,4050.0,3990.0,4050.0,4050.0,6909600,,,,,,,,,,,,
2020-04-23 11:00:00+07:00,4050.0,4060.0,4040.0,4050.0,4050.0,2820700,,,,,,,57.804546254402766,HOLD,,,,
2020-04-23 13:00:00+07:00,4050.0,4070.0,4050.0,4050.0,4050.0,2597100,,,,,,,57.804546254402766,HOLD,,,,
2020-04-23 14:00:00+07:00,4050.0,4050.0,4020.0,4020.0,4020.0,5494600,,,,,,,48.184238434474935,HOLD,,,,
2020-04-23 15:00:00+07:00,4020.0,4020.0,4020.0,4020.0,4020.0,4842000,,,,,,,48.184238434474935,HOLD,,,,
2020-04-24 09:00:00+07:00,4020.0,4020.0,3960.0,3980.0,3980.0,0,,,,,,,38.32186014260666,HOLD,,,,
2020-04-24 10:00:00+07:00,3980.0,3990.0,3920.0,3930.0,3930.0,5647200,,,,,,,30.04383528435382,,,,,
2020-04-24 11:00:00+07:00,3930.0,3930.0,3900.0,3920.0,3920.0,5789700,-0.01915544936837561,SELL,,,,,28.708162080772567,BUY,4070.0,3985.0,3900.0,
2020-04-24 13:00:00+07:00,3920.0,3920.0,3880.0,3890.0,3890.0,6795200,-0.059167387557755115,SELL,,,,,25.102625355916686,BUY,4070.0,3975.0,3880.0,
2020-04-24 14:00:00+07:00,3890.0,3890.0,3780.0,3790.0,3790.0,19280500,-0.20052716279680596,SELL,,,,,17.302063757353793,BUY,4070.0,3925.0,3780.0,
2020-04-24 15:00:00+07:00,3800.0,3800.0,3800.0,3800.0,3800.0,5846300,-0.19891578026540835,SELL,,,,,19.9799386868047,BUY,4070.0,3925.0,3780.0,
2020-04-27 09:00:00+07:00,3870.0,3920.0,3750.0,3860.0,3860.0,0,-0.2462439621363951,SELL,,,,,33.825807221305155,HOLD,4070.0,3910.0,3750.0,SELL
2020-04-27 10:00:00+07:00,3860.0,3860.0,3750.0,3770.0,3770.0,5211400,-0.270669648139533,SELL,,,,,26.43653324213645,BUY,4070.0,3910.0,3750.0,
2020-04-27 11:00:00+07:00,3770.0,3800.0,3760.0,3790.0,3790.0,1743800,-0.25792075728183933,SELL,-59.33282835465707,,,,30.091278646202497,,4070.0,3910.0,3750.0,
2020-04-27 13:00:00+07:00,3800.0,3810.0,3770.0,3790.0,3790.0,3524800,-0.24280553667313176,SELL,-61.874607999971886,,,,30.091278646202497,,4070.0,3910.0,3750.0,
2020-04-27 14:00:00+07:00,3800.0,3810.0,3770.0,3780.0,3780.0,6472800,-0.2644830579022329,SELL,-63.95862785883719,,,,29.248642610574677,BUY,4070.0,3910.0,3750.0,
