,Date,Close Price,Fee,Purchased Price,Capital Gain,Order,CMF
0,2020-04-24 10:00:00+07:00,17300.0,62,17362.0,0.0,BUY,0.27751378801730636
1,2020-04-28 13:00:00+07:00,15300.0,70,17362.0,-2132.0,SELL,-0.002626032619407342
2,2020-04-28 14:00:00+07:00,15200.0,54,15254.0,0.0,BUY,0.034001688729776526
3,2020-04-29 09:00:00+07:00,15500.0,71,15254.0,175.0,SELL,-0.24092163192823018
4,2020-05-05 15:00:00+07:00,15000.0,54,15054.0,0.0,BUY,0.00025465977613774583
5,2020-05-06 09:00:00+07:00,15100.0,69,15054.0,-23.0,SELL,-0.06965192057733552
6,2020-05-19 14:00:00+07:00,13900.0,50,13950.0,0.0,BUY,0.02368262045693739
7,2020-05-19 15:00:00+07:00,13900.0,63,13950.0,-113.0,SELL,-0.0020343858526738557
8,2020-05-20 09:00:00+07:00,14300.0,51,14351.0,0.0,BUY,0.14987464067749576
9,2020-05-20 14:00:00+07:00,13700.0,63,14351.0,-714.0,SELL,-0.029637935909562717
10,2020-05-26 10:00:00+07:00,13600.0,48,13648.0,0.0,BUY,0.05821245366612849
11,2020-05-27 10:00:00+07:00,13600.0,62,13648.0,-110.0,SELL,-0.053230400671001446
12,2020-05-27 14:00:00+07:00,13900.0,50,13950.0,0.0,BUY,0.001867763999144729
13,2020-05-27 15:00:00+07:00,14000.0,64,13950.0,-14.0,SELL,-0.028122904314318242
14,2020-05-29 09:00:00+07:00,14000.0,50,14050.0,0.0,BUY,0.01141981887892287
15,2020-05-29 10:00:00+07:00,13900.0,63,14050.0,-213.0,SELL,-0.020514249680571896
16,2020-06-02 13:00:00+07:00,14700.0,52,14752.0,0.0,BUY,0.01884359298933229
17,2020-06-03 09:00:00+07:00,14600.0,67,14752.0,-219.0,SELL,-0.06136766601358437
18,2020-06-03 13:00:00+07:00,14700.0,52,14752.0,0.0,BUY,0.0013392744962609801
19,2020-06-10 13:00:00+07:00,16500.0,75,14752.0,1673.0,SELL,-0.012876472449069889
20,2020-06-17 09:00:00+07:00,17700.0,63,17763.0,0.0,BUY,0.04817444226497725
21,2020-06-19 15:00:00+07:00,17800.0,81,17763.0,-44.0,SELL,-0.014250216977023639
22,2020-06-22 13:00:00+07:00,17500.0,63,17563.0,0.0,BUY,0.02197432081657837
23,2020-06-23 09:00:00+07:00,17500.0,80,17563.0,-143.0,SELL,-0.050722561143133026
24,2020-06-24 10:00:00+07:00,18000.0,64,18064.0,0.0,BUY,0.09623201731907487
25,2020-06-29 13:00:00+07:00,17100.0,78,18064.0,-1042.0,SELL,-0.03056741603132575
26,2020-06-29 14:00:00+07:00,17400.0,62,17462.0,0.0,BUY,0.03504846664021302
27,2020-07-01 09:00:00+07:00,17100.0,78,17462.0,-440.0,SELL,-0.009241113590312546
28,2020-07-02 14:00:00+07:00,16800.0,60,16860.0,0.0,BUY,0.03823518137508565
29,2020-07-03 09:00:00+07:00,16900.0,77,16860.0,-37.0,SELL,-0.021475761668713438
30,2020-07-06 11:00:00+07:00,16700.0,60,16760.0,0.0,BUY,0.0033538772826097185
31,2020-07-06 15:00:00+07:00,16600.0,76,16760.0,-236.0,SELL,-0.023796340978842593
32,2020-07-07 09:00:00+07:00,16500.0,59,16559.0,0.0,BUY,0.07972939787099208
33,2020-07-07 14:00:00+07:00,16500.0,75,16559.0,-134.0,SELL,-0.0010767070446778032
34,2020-07-08 11:00:00+07:00,17300.0,62,17362.0,0.0,BUY,0.14560892874606243
35,2020-07-27 14:00:00+07:00,22600.0,103,17362.0,5135.0,SELL,-0.1545386381394453
36,2020-07-28 11:00:00+07:00,23800.0,85,23885.0,0.0,BUY,0.022797362935830245
37,2020-08-04 09:00:00+07:00,21400.0,98,23885.0,-2583.0,SELL,-0.3012953106729569
38,2020-08-06 13:00:00+07:00,23800.0,85,23885.0,0.0,BUY,0.07205988210270195
39,2020-08-07 14:00:00+07:00,22000.0,101,23885.0,-1986.0,SELL,-0.012931482724165739
40,2020-08-13 09:00:00+07:00,23400.0,84,23484.0,0.0,BUY,0.06134623948644246
41,2020-08-25 13:00:00+07:00,23400.0,107,23484.0,-191.0,SELL,-0.02992992880914557
42,2020-08-27 09:00:00+07:00,24400.0,87,24487.0,0.0,BUY,0.0005715493276803274
43,2020-08-27 10:00:00+07:00,24200.0,111,24487.0,-398.0,SELL,-0.038318779601400434
44,2020-09-11 10:00:00+07:00,20800.0,74,20874.0,0.0,BUY,0.10353058484711737
45,2020-09-11 14:00:00+07:00,20200.0,92,20874.0,-766.0,SELL,-0.027699136235158645
46,2020-09-14 10:00:00+07:00,22000.0,79,22079.0,0.0,BUY,0.04125447572142248
47,2020-09-17 10:00:00+07:00,22400.0,103,22079.0,218.0,SELL,-0.0356675297940401
48,2020-09-22 13:00:00+07:00,21400.0,77,21477.0,0.0,BUY,0.020248082573304047
49,2020-09-29 10:00:00+07:00,20200.0,92,21477.0,-1369.0,SELL,-0.009223199752478827
50,2020-09-29 11:00:00+07:00,20400.0,73,20473.0,0.0,BUY,0.06566546588994968
51,2020-09-29 14:00:00+07:00,20000.0,92,20473.0,-565.0,SELL,-0.06980119292731628
52,2020-09-30 13:00:00+07:00,19700.0,70,19770.0,0.0,BUY,0.024452096075415812
53,2020-10-12 09:00:00+07:00,23400.0,107,19770.0,3523.0,SELL,-0.18803345456526807
54,2020-11-02 09:00:00+07:00,22000.0,79,22079.0,0.0,BUY,0.05681187428844599
55,2020-11-02 11:00:00+07:00,21600.0,99,22079.0,-578.0,SELL,-0.08015886293707335
56,2020-11-09 14:00:00+07:00,22600.0,81,22681.0,0.0,BUY,0.09112237072315986
57,2020-11-18 15:00:00+07:00,24600.0,113,22681.0,1806.0,SELL,-0.069710849681353
58,2020-11-19 13:00:00+07:00,24800.0,89,24889.0,0.0,BUY,0.028705344694325435
59,2020-11-19 14:00:00+07:00,24600.0,113,24889.0,-402.0,SELL,-0.16141293969565507
60,2020-11-24 14:00:00+07:00,26200.0,94,26294.0,0.0,BUY,0.08655462305303235
61,2020-11-25 09:00:00+07:00,26800.0,123,26294.0,383.0,SELL,-0.02622687495049588
62,2020-11-25 15:00:00+07:00,26600.0,95,26695.0,0.0,BUY,0.02432588682547226
63,2020-11-26 14:00:00+07:00,27200.0,125,26695.0,380.0,SELL,-0.002463523984522263
64,2020-11-27 10:00:00+07:00,27000.0,97,27097.0,0.0,BUY,0.06115820360080301
65,2020-11-27 13:00:00+07:00,26800.0,123,27097.0,-420.0,SELL,-0.032000406515078295
66,2020-11-30 15:00:00+07:00,26000.0,93,26093.0,0.0,BUY,0.026543062208839806
67,2020-12-01 09:00:00+07:00,26800.0,123,26093.0,584.0,SELL,-0.07831473719826837
68,2020-12-02 09:00:00+07:00,26600.0,95,26695.0,0.0,BUY,0.06722875262351681
69,2020-12-10 10:00:00+07:00,24600.0,113,26695.0,-2208.0,SELL,-0.06850547490548267
70,2020-12-14 13:00:00+07:00,25800.0,92,25892.0,0.0,BUY,0.05382412946701274
71,2020-12-17 15:00:00+07:00,25000.0,115,25892.0,-1007.0,SELL,-0.04077602677054155
72,2020-12-23 10:00:00+07:00,24800.0,89,24889.0,0.0,BUY,0.024935803974429686
73,2020-12-23 13:00:00+07:00,24400.0,112,24889.0,-601.0,SELL,-0.01752010016031024
74,2020-12-23 14:00:00+07:00,24400.0,87,24487.0,0.0,BUY,0.005511439051038621
75,2021-01-14 11:00:00+07:00,24400.0,112,24487.0,-199.0,SELL,-0.029030387268818618
76,2021-01-22 14:00:00+07:00,22800.0,82,22882.0,0.0,BUY,0.05316669749840678
77,2021-01-28 14:00:00+07:00,21400.0,98,22882.0,-1580.0,SELL,-0.09335383250794606
78,2021-02-03 10:00:00+07:00,22200.0,79,22279.0,0.0,BUY,0.32146924302816954
