,Date,Close Price,Fee,Purchased Price,Capital Gain,Order,DC_hband,DC_mband,DC_lband
0,2020-04-24 10:00:00+07:00,17300.0,62,17362.0,0.0,BUY,192.0,182.5,173.0
1,2020-04-30 14:00:00+07:00,15400.0,70,17362.0,-2032.0,SELL,162.0,156.0,150.0
2,2020-05-04 15:00:00+07:00,14900.0,53,14953.0,0.0,BUY,162.0,155.5,149.0
3,2020-05-11 09:00:00+07:00,14900.0,68,14953.0,-121.0,SELL,156.0,152.0,148.0
4,2020-05-12 14:00:00+07:00,13900.0,50,13950.0,0.0,BUY,153.0,146.0,139.0
5,2020-05-20 14:00:00+07:00,13700.0,63,13950.0,-313.0,SELL,149.0,138.0,127.0
6,2020-05-26 09:00:00+07:00,13400.0,48,13448.0,0.0,BUY,149.0,139.0,129.0
7,2020-05-27 09:00:00+07:00,13700.0,63,13448.0,189.0,SELL,149.0,139.5,130.0
8,2020-05-28 09:00:00+07:00,14100.0,50,14150.0,0.0,BUY,149.0,139.5,130.0
9,2020-05-28 14:00:00+07:00,13800.0,63,14150.0,-413.0,SELL,145.0,137.5,130.0
10,2020-05-29 09:00:00+07:00,14000.0,50,14050.0,0.0,BUY,145.0,137.5,130.0
11,2020-06-02 11:00:00+07:00,14500.0,66,14050.0,384.0,SELL,145.0,140.0,135.0
12,2020-06-10 13:00:00+07:00,16500.0,59,16559.0,0.0,BUY,194.0,179.5,165.0
13,2020-06-12 13:00:00+07:00,16400.0,75,16559.0,-234.0,SELL,180.0,168.0,156.0
14,2020-06-12 14:00:00+07:00,16700.0,60,16760.0,0.0,BUY,179.0,167.5,156.0
15,2020-06-15 10:00:00+07:00,16800.0,77,16760.0,-37.0,SELL,177.0,166.5,156.0
16,2020-06-24 09:00:00+07:00,17800.0,64,17864.0,0.0,BUY,184.0,177.0,170.0
17,2020-06-25 09:00:00+07:00,17800.0,81,17864.0,-145.0,SELL,184.0,177.0,170.0
18,2020-06-25 13:00:00+07:00,17700.0,63,17763.0,0.0,BUY,184.0,177.0,170.0
19,2020-06-29 09:00:00+07:00,17400.0,80,17763.0,-443.0,SELL,182.0,177.0,172.0
20,2020-07-07 09:00:00+07:00,16500.0,59,16559.0,0.0,BUY,172.0,168.5,165.0
21,2020-07-08 10:00:00+07:00,16800.0,77,16559.0,164.0,SELL,172.0,168.0,164.0
22,2020-07-08 11:00:00+07:00,17300.0,62,17362.0,0.0,BUY,174.0,169.0,164.0
23,2020-07-08 14:00:00+07:00,18100.0,83,17362.0,655.0,SELL,181.0,172.5,164.0
24,2020-07-14 10:00:00+07:00,18500.0,66,18566.0,0.0,BUY,189.0,182.5,176.0
25,2020-07-14 11:00:00+07:00,18500.0,85,18566.0,-151.0,SELL,185.0,180.5,176.0
26,2020-07-15 13:00:00+07:00,19500.0,70,19570.0,0.0,BUY,202.0,189.5,177.0
27,2020-07-22 10:00:00+07:00,22800.0,104,19570.0,3126.0,SELL,228.0,211.5,195.0
28,2020-07-24 14:00:00+07:00,22600.0,81,22681.0,0.0,BUY,232.0,223.0,214.0
29,2020-07-28 09:00:00+07:00,23400.0,107,22681.0,612.0,SELL,234.0,226.0,218.0
30,2020-08-03 09:00:00+07:00,20600.0,74,20674.0,0.0,BUY,242.0,224.0,206.0
31,2020-08-05 11:00:00+07:00,22000.0,101,20674.0,1225.0,SELL,232.0,219.0,206.0
32,2020-08-11 09:00:00+07:00,22600.0,81,22681.0,0.0,BUY,240.0,226.0,212.0
33,2020-08-11 10:00:00+07:00,22400.0,103,22681.0,-384.0,SELL,240.0,226.0,212.0
34,2020-08-11 13:00:00+07:00,22600.0,81,22681.0,0.0,BUY,240.0,226.0,212.0
35,2020-08-12 14:00:00+07:00,23400.0,107,22681.0,612.0,SELL,234.0,223.0,212.0
36,2020-08-18 10:00:00+07:00,25200.0,90,25290.0,0.0,BUY,254.0,239.0,224.0
37,2020-08-19 13:00:00+07:00,24200.0,111,25290.0,-1201.0,SELL,256.0,244.0,232.0
38,2020-08-24 14:00:00+07:00,23200.0,83,23283.0,0.0,BUY,256.0,244.0,232.0
39,2020-08-27 14:00:00+07:00,24200.0,111,23283.0,806.0,SELL,256.0,244.0,232.0
40,2020-08-31 09:00:00+07:00,23200.0,83,23283.0,0.0,BUY,256.0,244.0,232.0
41,2020-09-03 11:00:00+07:00,22400.0,103,23283.0,-986.0,SELL,236.0,227.0,218.0
42,2020-09-04 10:00:00+07:00,22600.0,81,22681.0,0.0,BUY,232.0,223.0,214.0
43,2020-09-04 11:00:00+07:00,22200.0,102,22681.0,-583.0,SELL,232.0,223.0,214.0
44,2020-09-04 13:00:00+07:00,22400.0,80,22480.0,0.0,BUY,232.0,223.0,214.0
45,2020-09-08 13:00:00+07:00,22400.0,103,22480.0,-183.0,SELL,236.0,225.0,214.0
46,2020-09-08 14:00:00+07:00,22800.0,82,22882.0,0.0,BUY,236.0,225.0,214.0
47,2020-09-09 09:00:00+07:00,22600.0,103,22882.0,-385.0,SELL,236.0,225.0,214.0
48,2020-09-09 13:00:00+07:00,21800.0,78,21878.0,0.0,BUY,236.0,227.0,218.0
49,2020-09-23 10:00:00+07:00,21400.0,98,21878.0,-576.0,SELL,226.0,217.0,208.0
50,2020-09-24 11:00:00+07:00,21400.0,77,21477.0,0.0,BUY,222.0,213.0,204.0
51,2020-09-24 13:00:00+07:00,21000.0,96,21477.0,-573.0,SELL,222.0,213.0,204.0
52,2020-09-24 14:00:00+07:00,21200.0,76,21276.0,0.0,BUY,222.0,213.0,204.0
