,Date,Close Price,Fee,Purchased Price,Capital Gain,Order,CMF,DC_hband,DC_mband,DC_lband
0,37,10400.0,37,10437.0,0.0,BUY,0.1503527988053587,106.0,101.5,97.0
1,78,10200.0,46,10437.0,-283.0,SELL,-0.2694192920634564,108.0,103.5,99.0
2,140,9600.0,34,9634.0,0.0,BUY,0.4463979701384676,101.0,98.5,96.0
3,268,9600.0,44,9634.0,-78.0,SELL,-0.1255507283931394,102.0,98.0,94.0
4,289,10100.0,36,10136.0,0.0,BUY,0.2172490382063814,104.0,99.5,95.0
5,317,9700.0,44,10136.0,-480.0,SELL,-0.2016206608227152,99.0,97.5,96.0
6,324,9800.0,35,9835.0,0.0,BUY,0.055023015569184,99.0,97.5,96.0
7,392,14500.0,66,9835.0,4599.0,SELL,-0.0012210925812389,168.0,146.0,124.0
8,398,13300.0,47,13347.0,0.0,BUY,0.0277953202257949,157.0,145.0,133.0
9,515,9200.0,42,13347.0,-4189.0,SELL,-0.3664944795722402,98.0,93.0,88.0
10,520,9200.0,33,9233.0,0.0,BUY,0.159327353877052,96.0,92.5,89.0
11,540,8700.0,40,9233.0,-573.0,SELL,-0.2514030084617242,93.0,89.5,86.0
12,560,8600.0,30,8630.0,0.0,BUY,0.1460270251798744,90.0,83.0,76.0
13,639,7800.0,35,8630.0,-865.0,SELL,-0.0475768115362742,82.0,78.0,74.0
14,656,7800.0,28,7828.0,0.0,BUY,0.1323884109556511,83.0,78.5,74.0
15,686,8100.0,37,7828.0,235.0,SELL,-0.0898043971784074,87.0,83.5,80.0
16,690,8500.0,30,8530.0,0.0,BUY,0.2913164652393242,86.0,83.0,80.0
17,713,8300.0,38,8530.0,-268.0,SELL,-0.1285132666822042,87.0,84.5,82.0
18,785,6200.0,22,6222.0,0.0,BUY,0.1264126776403124,69.0,65.5,62.0
19,804,6500.0,29,6222.0,249.0,SELL,-0.0341200684658284,70.0,65.5,61.0
20,836,6700.0,24,6724.0,0.0,BUY,0.1316967095383475,68.0,64.5,61.0
21,858,7300.0,33,6724.0,543.0,SELL,-0.0801476279793388,77.0,72.5,68.0
22,901,6800.0,24,6824.0,0.0,BUY,0.1528060736104639,69.0,66.5,64.0
23,916,7500.0,34,6824.0,642.0,SELL,-0.097564068911651,84.0,75.0,66.0
24,986,6800.0,24,6824.0,0.0,BUY,0.2638823972592664,73.0,70.5,68.0
25,992,6900.0,31,6824.0,45.0,SELL,-0.2275349610313843,72.0,69.0,66.0
26,1014,6900.0,24,6924.0,0.0,BUY,0.4197192153169483,70.0,68.0,66.0
27,1068,6800.0,31,6924.0,-155.0,SELL,-0.3831721679482313,71.0,68.5,66.0
28,1112,5700.0,20,5720.0,0.0,BUY,0.0703996345604023,61.0,56.0,51.0
29,1142,5700.0,26,5720.0,-46.0,SELL,-0.1619759293020751,59.0,57.5,56.0
30,1170,6600.0,23,6623.0,0.0,BUY,0.1840297492159914,66.0,61.5,57.0
31,1259,8800.0,40,6623.0,2137.0,SELL,-0.3363048525931457,94.0,88.5,83.0
32,1280,8600.0,30,8630.0,0.0,BUY,0.0277529939187114,95.0,90.5,86.0
33,1307,8200.0,37,8630.0,-467.0,SELL,-0.2016451042126965,89.0,84.5,80.0
34,1327,8000.0,28,8028.0,0.0,BUY,0.0080351655911852,85.0,79.5,74.0
35,1363,7900.0,36,8028.0,-164.0,SELL,-0.1929574946845141,82.0,79.0,76.0
36,1375,8400.0,30,8430.0,0.0,BUY,0.2193475750758245,87.0,82.5,78.0
37,1387,8300.0,38,8430.0,-168.0,SELL,-0.1949643556358198,87.0,83.0,79.0
38,1458,8700.0,31,8731.0,0.0,BUY,0.0926974738089769,89.0,84.0,79.0
39,1537,8400.0,38,8731.0,-369.0,SELL,-0.2704497147192225,84.0,79.0,74.0
40,1559,8400.0,30,8430.0,0.0,BUY,0.1283880950526505,85.0,83.5,82.0
41,1584,8900.0,40,8430.0,430.0,SELL,-0.0307062434571468,93.0,88.5,84.0
42,1590,8900.0,32,8932.0,0.0,BUY,0.0015455260077951,92.0,88.0,84.0
43,1665,13500.0,62,8932.0,4506.0,SELL,-0.0463710559651112,135.0,124.0,113.0
44,1677,13200.0,47,13247.0,0.0,BUY,0.056234658946231,137.0,130.0,123.0
45,1681,12800.0,58,13247.0,-505.0,SELL,-0.2585618922951763,137.0,132.0,127.0
46,1816,13000.0,46,13046.0,0.0,BUY,0.0038243069844834,132.0,124.5,117.0
47,1842,15700.0,72,13046.0,2582.0,SELL,-0.0628001896762787,170.0,157.5,145.0
48,1971,12400.0,44,12444.0,0.0,BUY,0.0395952746307009,129.0,125.5,122.0
49,1977,12100.0,55,12444.0,-399.0,SELL,-0.0509915904602362,129.0,124.5,120.0
50,2013,12100.0,43,12143.0,0.0,BUY,0.0011564275548157,124.0,118.5,113.0
51,2079,11000.0,50,12143.0,-1193.0,SELL,-0.0152099722685489,118.0,111.5,105.0
52,2254,11600.0,41,11641.0,0.0,BUY,0.1513773644324553,118.0,114.5,111.0
53,2257,11200.0,51,11641.0,-492.0,SELL,-0.0992452699262619,118.0,114.5,111.0
54,2316,8900.0,32,8932.0,0.0,BUY,0.0458974330671395,96.0,92.5,89.0
55,2348,8700.0,40,8932.0,-272.0,SELL,-0.069281999554011,91.0,88.0,85.0
56,2357,8700.0,31,8731.0,0.0,BUY,0.0021022223950748,90.0,87.5,85.0
57,2436,8700.0,40,8731.0,-71.0,SELL,-0.1800261108266933,89.0,86.5,84.0
58,2453,8800.0,31,8831.0,0.0,BUY,0.0508814286955897,90.0,88.0,86.0
59,2611,8700.0,40,8831.0,-171.0,SELL,-0.0508434634791388,87.0,83.0,79.0
60,2624,8500.0,30,8530.0,0.0,BUY,0.0101134260044445,88.0,84.5,81.0
61,2649,8300.0,38,8530.0,-268.0,SELL,-0.1100197256937089,85.0,83.5,82.0
62,2662,8000.0,28,8028.0,0.0,BUY,0.0956500594229827,85.0,82.5,80.0
63,2714,7700.0,35,8028.0,-363.0,SELL,-0.4382531933241531,80.0,77.5,75.0
64,2732,8200.0,29,8229.0,0.0,BUY,0.1388230327475902,82.0,79.5,77.0
