,Date,Close Price,Fee,Purchased Price,Capital Gain,Order,MACD_line,MACD_histogram,MACD_signal
0,2020-05-06 09:00:00+07:00,10100.0,36,10136.0,0.0,BUY,-0.18347019441213774,-0.48208083501298266,0.2986106406008449
1,2020-05-18 11:00:00+07:00,10300.0,47,10136.0,117.0,SELL,0.15365964627677897,1.4458743566454526,-1.2922147103686736
2,2020-05-20 14:00:00+07:00,9600.0,34,9634.0,0.0,BUY,-0.11580158241575589,-0.36088815739274127,0.24508657497698536
3,2020-05-26 15:00:00+07:00,9900.0,45,9634.0,221.0,SELL,0.18640439528704178,0.06881531181187485,0.11758908347516693
4,2020-05-29 10:00:00+07:00,9700.0,34,9734.0,0.0,BUY,-0.042501819628540716,-0.10853199802312644,0.06603017839458572
5,2020-06-04 09:00:00+07:00,9900.0,45,9734.0,121.0,SELL,0.09043310166630647,0.20291014995736323,-0.11247704829105677
6,2020-06-11 14:00:00+07:00,10100.0,36,10136.0,0.0,BUY,-0.03672175468311423,-1.1366664672255462,1.099944712542432
7,2020-06-18 11:00:00+07:00,10500.0,48,10136.0,316.0,SELL,0.11321017004648581,0.5686387856988713,-0.4554286156523854
8,2020-06-23 15:00:00+07:00,10100.0,36,10136.0,0.0,BUY,-0.06839382937339167,-0.6601321750688753,0.5917383456954837
9,2020-07-03 13:00:00+07:00,10100.0,46,10136.0,-82.0,SELL,0.12254482440806669,0.5929365695372454,-0.4703917451291787
10,2020-07-08 09:00:00+07:00,9800.0,35,9835.0,0.0,BUY,-0.021089747262308833,-0.24981705928609824,0.2287273120237894
11,2020-07-16 14:00:00+07:00,9800.0,45,9835.0,-80.0,SELL,0.023209260007789112,0.1360265635374013,-0.1128173035296122
12,2020-07-20 10:00:00+07:00,9700.0,34,9734.0,0.0,BUY,-0.03095795000774615,-0.044912410212515255,0.01395446020476911
13,2020-07-21 15:00:00+07:00,9900.0,45,9734.0,121.0,SELL,0.048614599574889894,0.2008433948190654,-0.1522287952441755
14,2020-08-04 09:00:00+07:00,13200.0,47,13247.0,0.0,BUY,-0.36143646677658126,-2.356101359143693,1.9946648923671115
15,2020-08-05 13:00:00+07:00,14400.0,66,13247.0,1087.0,SELL,0.48421231318405944,0.6007756232777539,-0.11656331009369453
16,2020-08-10 11:00:00+07:00,13300.0,47,13347.0,0.0,BUY,-0.3997256985750255,-1.6325376702315018,1.2328119716564763
17,2020-09-15 10:00:00+07:00,8600.0,39,13347.0,-4786.0,SELL,0.025742885300374496,0.8246220751189957,-0.7988791898186212
18,2020-09-17 10:00:00+07:00,8400.0,30,8430.0,0.0,BUY,-0.1255657876014311,-0.026914149659947456,-0.09865163794148366
19,2020-09-29 09:00:00+07:00,7900.0,36,8430.0,-566.0,SELL,0.1318098806190875,0.73913814269814,-0.6073282620790525
20,2020-09-30 10:00:00+07:00,7500.0,27,7527.0,0.0,BUY,-0.07444908494950653,-0.007223298784720444,-0.06722578616478608
21,2020-10-01 09:00:00+07:00,7900.0,36,7527.0,337.0,SELL,0.025323649767202028,0.15023243050328458,-0.12490878073608255
22,2020-10-13 10:00:00+07:00,8000.0,28,8028.0,0.0,BUY,-0.06905900519539898,-0.5132391067579969,0.44418010156259785
23,2020-10-14 09:00:00+07:00,8400.0,38,8028.0,334.0,SELL,0.22139042390412556,0.022692689877017863,0.1986977340271077
24,2020-10-16 11:00:00+07:00,8300.0,29,8329.0,0.0,BUY,-0.000742586540795287,-0.1611569089802924,0.1604143224394971
25,2020-10-19 11:00:00+07:00,8500.0,39,8329.0,132.0,SELL,0.004864583981486703,0.047688158487317986,-0.04282357450583128
26,2020-10-19 14:00:00+07:00,8100.0,29,8129.0,0.0,BUY,-0.1933537969999719,-0.12456741688677106,-0.06878638011320085
27,2020-11-11 15:00:00+07:00,6900.0,31,8129.0,-1260.0,SELL,0.1346482291372837,0.7309591664143169,-0.5963109372770332
28,2020-11-13 09:00:00+07:00,6200.0,22,6222.0,0.0,BUY,-0.3166700673068874,-0.18127075654057972,-0.13539931076630768
29,2020-11-18 11:00:00+07:00,6600.0,30,6222.0,348.0,SELL,0.03308090129368679,0.48646866889609186,-0.45338776760240507
30,2020-11-30 09:00:00+07:00,6800.0,24,6824.0,0.0,BUY,-0.1844294676183722,-0.5849347586022682,0.400505290983896
31,2020-12-07 15:00:00+07:00,6900.0,31,6824.0,45.0,SELL,0.10709546325591646,0.4316229258943514,-0.32452746263843496
32,2020-12-17 09:00:00+07:00,7300.0,26,7326.0,0.0,BUY,-0.02691305438177949,-0.47971538508522776,0.4528023307034483
33,2021-01-13 15:00:00+07:00,7300.0,33,7326.0,-59.0,SELL,0.40361629962939105,0.8289017431347523,-0.4252854435053612
34,2021-01-19 09:00:00+07:00,6700.0,24,6724.0,0.0,BUY,-0.10402019988904954,-0.3163349377680551,0.21231473787900557
35,2021-02-03 09:00:00+07:00,5800.0,26,6724.0,-950.0,SELL,0.02100810830659583,0.6807392217305149,-0.6597311134239191
36,2021-02-04 14:00:00+07:00,5600.0,20,5620.0,0.0,BUY,-0.0802209436797412,-0.09392433067554601,0.013703386995804819
37,2021-02-08 11:00:00+07:00,5900.0,27,5620.0,253.0,SELL,0.03071075446978,0.14897456473877532,-0.11826381026899532
38,2021-02-22 10:00:00+07:00,6000.0,21,6021.0,0.0,BUY,-0.03524963636543532,-0.5672671896840602,0.5320175533186249
39,2021-02-23 11:00:00+07:00,6300.0,28,6021.0,251.0,SELL,0.06729745195420378,0.02417656643226756,0.04312088552193622
40,2021-03-16 13:00:00+07:00,8700.0,31,8731.0,0.0,BUY,-0.019332094308808223,-0.7943892894974133,0.775057195188605
41,2021-04-05 09:00:00+07:00,8100.0,37,8731.0,-668.0,SELL,0.024900620944649177,0.4126819421257175,-0.38778132118106834
42,2021-04-12 15:00:00+07:00,8000.0,28,8028.0,0.0,BUY,-0.04461553891435699,-0.6290511593347391,0.5844356204203821
43,2021-04-14 10:00:00+07:00,8700.0,40,8028.0,632.0,SELL,0.35817823150688355,0.3291076963029925,0.029070535203890996
